,Id Sensore,Data-Ora, Medio
26496,9015,01/01/2021 00:00,-1.7
26497,9015,01/01/2021 00:10,-1.7
26498,9015,01/01/2021 00:20,-1.5
26499,9015,01/01/2021 00:30,-1.5
26500,9015,01/01/2021 00:40,-1.7
26501,9015,01/01/2021 00:50,-1.7
26502,9015,01/01/2021 01:00,-1.8
26503,9015,01/01/2021 01:10,-1.8
26504,9015,01/01/2021 01:20,-1.8
26505,9015,01/01/2021 01:30,-1.8
26506,9015,01/01/2021 01:40,-1.7
26507,9015,01/01/2021 01:50,-1.7
26508,9015,01/01/2021 02:00,-1.7
26509,9015,01/01/2021 02:10,-1.8
26510,9015,01/01/2021 02:20,-1.9
26511,9015,01/01/2021 02:30,-1.9
26512,9015,01/01/2021 02:40,-1.9
26513,9015,01/01/2021 02:50,-1.8
26514,9015,01/01/2021 03:00,-1.7
26515,9015,01/01/2021 03:10,-1.7
26516,9015,01/01/2021 03:20,-1.5
26517,9015,01/01/2021 03:30,-1.5
26518,9015,01/01/2021 03:40,-1.3
26519,9015,01/01/2021 03:50,-1
26520,9015,01/01/2021 04:00,-1
26521,9015,01/01/2021 04:10,-0.9
26522,9015,01/01/2021 04:20,-0.9
26523,9015,01/01/2021 04:30,-1
26524,9015,01/01/2021 04:40,-1.1
26525,9015,01/01/2021 04:50,-1.3
26526,9015,01/01/2021 05:00,-1.4
26527,9015,01/01/2021 05:10,-1.4
26528,9015,01/01/2021 05:20,-1.4
26529,9015,01/01/2021 05:30,-1.4
26530,9015,01/01/2021 05:40,-1.5
26531,9015,01/01/2021 05:50,-1.5
26532,9015,01/01/2021 06:00,-1.5
26533,9015,01/01/2021 06:10,-1.2
26534,9015,01/01/2021 06:20,-0.9
26535,9015,01/01/2021 06:30,-1
26536,9015,01/01/2021 06:40,-1
26537,9015,01/01/2021 06:50,-1
26538,9015,01/01/2021 07:00,-1.1
26539,9015,01/01/2021 07:10,-1.1
26540,9015,01/01/2021 07:20,-1.1
26541,9015,01/01/2021 07:30,-1.2
26542,9015,01/01/2021 07:40,-1.2
26543,9015,01/01/2021 07:50,-1.2
26544,9015,01/01/2021 08:00,-1.3
26545,9015,01/01/2021 08:10,-1.4
26546,9015,01/01/2021 08:20,-1.4
26547,9015,01/01/2021 08:30,-1.3
26548,9015,01/01/2021 08:40,-1.2
26549,9015,01/01/2021 08:50,-1.1
26550,9015,01/01/2021 09:00,-1
26551,9015,01/01/2021 09:10,-1
26552,9015,01/01/2021 09:20,-1
26553,9015,01/01/2021 09:30,-1
26554,9015,01/01/2021 09:40,-1
26555,9015,01/01/2021 09:50,-1
26556,9015,01/01/2021 10:00,-0.9
26557,9015,01/01/2021 10:10,-0.8
26558,9015,01/01/2021 10:20,-0.7
26559,9015,01/01/2021 10:30,-0.7
26560,9015,01/01/2021 10:40,-0.5
26561,9015,01/01/2021 10:50,-0.5
26562,9015,01/01/2021 11:00,-0.5
26563,9015,01/01/2021 11:10,-0.5
26564,9015,01/01/2021 11:20,-0.4
26565,9015,01/01/2021 11:30,-0.3
26566,9015,01/01/2021 11:40,-0.2
26567,9015,01/01/2021 11:50,0
26568,9015,01/01/2021 12:00,0
26569,9015,01/01/2021 12:10,0
26570,9015,01/01/2021 12:20,0.2
26571,9015,01/01/2021 12:30,0.1
26572,9015,01/01/2021 12:40,0
26573,9015,01/01/2021 12:50,0
26574,9015,01/01/2021 13:00,0.1
26575,9015,01/01/2021 13:10,0.2
