,Id Sensore,Data-Ora, Medio
26496,9008,2021/01/01 00:00,-5.6
26497,9008,2021/01/01 00:10,-5.6
26498,9008,2021/01/01 00:20,-5.6
26499,9008,2021/01/01 00:30,-5.4
26500,9008,2021/01/01 00:40,-5.4
26501,9008,2021/01/01 00:50,-5.4
26502,9008,2021/01/01 01:00,-5.3
26503,9008,2021/01/01 01:10,-5.3
26504,9008,2021/01/01 01:20,-5.3
26505,9008,2021/01/01 01:30,-5.3
26506,9008,2021/01/01 01:40,-5.4
26507,9008,2021/01/01 01:50,-5.5
26508,9008,2021/01/01 02:00,-5.4
26509,9008,2021/01/01 02:10,-5.1
26510,9008,2021/01/01 02:20,-5.1
26511,9008,2021/01/01 02:30,-5.3
26512,9008,2021/01/01 02:40,-5.4
26513,9008,2021/01/01 02:50,-5.5
26514,9008,2021/01/01 03:00,-5.9
26515,9008,2021/01/01 03:10,-6.2
26516,9008,2021/01/01 03:20,-6.2
26517,9008,2021/01/01 03:30,-6.2
26518,9008,2021/01/01 03:40,-6.1
26519,9008,2021/01/01 03:50,-5.8
26520,9008,2021/01/01 04:00,-5.8
26521,9008,2021/01/01 04:10,-5.5
26522,9008,2021/01/01 04:20,-5.1
26523,9008,2021/01/01 04:30,-4.9
26524,9008,2021/01/01 04:40,-4.8
26525,9008,2021/01/01 04:50,-4.6
26526,9008,2021/01/01 05:00,-4.4
26527,9008,2021/01/01 05:10,-4.2
26528,9008,2021/01/01 05:20,-4.2
26529,9008,2021/01/01 05:30,-4.8
26530,9008,2021/01/01 05:40,-5.7
26531,9008,2021/01/01 05:50,-6.1
26532,9008,2021/01/01 06:00,-6.3
26533,9008,2021/01/01 06:10,-6.2
26534,9008,2021/01/01 06:20,-5.9
26535,9008,2021/01/01 06:30,-5.8
26536,9008,2021/01/01 06:40,-5.7
26537,9008,2021/01/01 06:50,-5.6
26538,9008,2021/01/01 07:00,-5.7
26539,9008,2021/01/01 07:10,-5.6
26540,9008,2021/01/01 07:20,-5.6
26541,9008,2021/01/01 07:30,-5.7
26542,9008,2021/01/01 07:40,-5.6
26543,9008,2021/01/01 07:50,-5.7
26544,9008,2021/01/01 08:00,-5.7
26545,9008,2021/01/01 08:10,-5.6
26546,9008,2021/01/01 08:20,-5.6
26547,9008,2021/01/01 08:30,-5.4
26548,9008,2021/01/01 08:40,-5.2
26549,9008,2021/01/01 08:50,-5.0
26550,9008,2021/01/01 09:00,-4.9
26551,9008,2021/01/01 09:10,-4.7
26552,9008,2021/01/01 09:20,-4.6
26553,9008,2021/01/01 09:30,-4.6
26554,9008,2021/01/01 09:40,-4.5
26555,9008,2021/01/01 09:50,-4.1
26556,9008,2021/01/01 10:00,-4.0
26557,9008,2021/01/01 10:10,-4.1
26558,9008,2021/01/01 10:20,-3.6
26559,9008,2021/01/01 10:30,-3.2
26560,9008,2021/01/01 10:40,-3.0
26561,9008,2021/01/01 10:50,-2.9
26562,9008,2021/01/01 11:00,-2.8
26563,9008,2021/01/01 11:10,-2.8
26564,9008,2021/01/01 11:20,-2.8
26565,9008,2021/01/01 11:30,-2.7
26566,9008,2021/01/01 11:40,-1.9
26567,9008,2021/01/01 11:50,-1.9
26568,9008,2021/01/01 12:00,-1.9
26569,9008,2021/01/01 12:10,-2.2
26570,9008,2021/01/01 12:20,-2.3
26571,9008,2021/01/01 12:30,-2.6
26572,9008,2021/01/01 12:40,-2.4
26573,9008,2021/01/01 12:50,-2.6
26574,9008,2021/01/01 13:00,-2.3
26575,9008,2021/01/01 13:10,-1.8
26576,9008,2021/01/01 13:20,-1.4
26577,9008,2021/01/01 13:30,-1.4
26578,9008,2021/01/01 13:40,-1.8
26579,9008,2021/01/01 13:50,-2.2
26580,9008,2021/01/01 14:00,-1.6
26581,9008,2021/01/01 14:10,-1.3
26582,9008,2021/01/01 14:20,-1.7
26583,9008,2021/01/01 14:30,-1.7
26584,9008,2021/01/01 14:40,-1.7
26585,9008,2021/01/01 14:50,-1.6
26586,9008,2021/01/01 15:00,-1.6
26587,9008,2021/01/01 15:10,-2.2
26588,9008,2021/01/01 15:20,-2.5
26589,9008,2021/01/01 15:30,-2.7
26590,9008,2021/01/01 15:40,-2.8
26591,9008,2021/01/01 15:50,-2.9
26592,9008,2021/01/01 16:00,-2.9
26593,9008,2021/01/01 16:10,-3.0
26594,9008,2021/01/01 16:20,-3.2
26595,9008,2021/01/01 16:30,-3.4
26596,9008,2021/01/01 16:40,-3.5
26597,9008,2021/01/01 16:50,-3.5
26598,9008,2021/01/01 17:00,-3.6
26599,9008,2021/01/01 17:10,-3.6
26600,9008,2021/01/01 17:20,-3.6
26601,9008,2021/01/01 17:30,-3.6
26602,9008,2021/01/01 17:40,-3.6
26603,9008,2021/01/01 17:50,-3.6
26604,9008,2021/01/01 18:00,-3.6
26605,9008,2021/01/01 18:10,-3.6
26606,9008,2021/01/01 18:20,-3.6
26607,9008,2021/01/01 18:30,-3.6
26608,9008,2021/01/01 18:40,-3.6
26609,9008,2021/01/01 18:50,-3.7
26610,9008,2021/01/01 19:00,-3.7
26611,9008,2021/01/01 19:10,-3.6
26612,9008,2021/01/01 19:20,-3.7
26613,9008,2021/01/01 19:30,-3.7
26614,9008,2021/01/01 19:40,-3.6
26615,9008,2021/01/01 19:50,-3.6
26616,9008,2021/01/01 20:00,-3.6
26617,9008,2021/01/01 20:10,-3.6
26618,9008,2021/01/01 20:20,-3.6
26619,9008,2021/01/01 20:30,-3.6
26620,9008,2021/01/01 20:40,-3.6
26621,9008,2021/01/01 20:50,-3.6
26622,9008,2021/01/01 21:00,-3.5
